"id","userid","itemid","trading","tradecost","date","tradedate","fav","custom_name"
"1","72","1730","0","0","0","0","0",NULL
"2","72","231","0","0","0","0","0",NULL
"3","72","238","0","0","0","0","0",NULL
"4","72","246","0","0","0","0","0",NULL
"5","72","530","0","0","0","0","0",NULL
"6","72","564","0","0","0","0","0",NULL
"7","72","250","0","0","0","0","0",NULL
"8","72","258","0","0","0","0","0",NULL
"9","72","259","0","0","0","0","0",NULL
"10","72","265","0","0","0","0","0",NULL
"11","72","321","0","0","0","0","0",NULL
"12","72","327","0","0","0","0","0",NULL
"13","72","330","0","0","0","0","0",NULL
"14","72","367","0","0","0","0","0",NULL
"15","72","379","0","0","0","0","0",NULL
"16","72","885","0","0","0","0","0",NULL
"17","72","886","0","0","0","0","0",NULL
"18","72","660","0","0","0","0","0",NULL
"19","72","663","0","0","0","0","0",NULL
"20","72","891","0","0","0","0","0",NULL
"21","72","894","0","0","0","0","0",NULL
"22","72","895","0","0","0","0","0",NULL
"23","72","795","0","0","0","0","0",NULL
"24","72","897","0","0","0","0","0",NULL
"25","72","673","0","0","0","0","0",NULL
"26","72","856","0","0","0","0","0",NULL
"27","72","903","0","0","0","0","0",NULL
"28","72","906","0","0","0","0","0",NULL
"29","72","859","0","0","0","0","0",NULL
"30","72","907","0","0","0","0","0",NULL
"31","72","862","0","0","0","0","0",NULL
"32","72","912","0","0","0","0","0",NULL
"33","72","817","0","0","0","0","0",NULL
"34","72","914","0","0","0","0","0",NULL
"35","72","718","0","0","0","0","0",NULL
"36","72","879","0","0","0","0","0",NULL
"37","72","833","0","0","0","0","0",NULL
"38","72","745","0","0","0","0","0",NULL
"39","72","840","0","0","0","0","0",NULL
"40","72","841","0","0","0","0","0",NULL
"41","72","843","0","0","0","0","0",NULL
"42","72","932","0","0","0","0","0",NULL
"43","72","935","0","0","0","0","0",NULL
"44","72","404","0","0","0","0","0",NULL
"45","72","1606","0","0","0","0","0",NULL
"46","72","645","0","0","0","0","0",NULL
"47","72","1456","0","0","0","0","0",NULL
"48","72","23","0","0","0","0","0",NULL
"49","72","1656","0","0","0","0","0",NULL
"50","72","91","0","0","0","0","0",NULL
"51","72","417","0","0","0","0","0",NULL
"52","72","1409","0","0","0","0","0",NULL
"53","72","1645","0","0","0","0","0",NULL
"54","72","644","0","0","0","0","0",NULL
"55","72","1290","0","0","0","0","0",NULL
"56","72","131","0","0","0","0","0",NULL
"57","72","419","0","0","0","0","0",NULL
"58","72","34","0","0","0","0","0",NULL
"59","72","1412","0","0","0","0","0",NULL
"60","72","36","0","0","0","0","0",NULL
"61","72","646","0","0","0","0","0",NULL
"62","72","1594","0","0","0","0","0",NULL
"63","72","218","0","0","0","0","0",NULL
"64","72","1615","0","0","0","0","0",NULL
"65","72","1582","0","0","0","0","0",NULL
"66","72","1009","0","0","0","0","0",NULL
"67","72","1010","0","0","0","0","0",NULL
"68","72","1005","0","0","0","0","0",NULL
"69","72","1764","0","0","0","0","0",NULL
"70","127","1733","0","0","0","0","0",NULL
"71","127","885","0","0","0","0","0",NULL
"72","127","660","0","0","0","0","0",NULL
"73","127","893","0","0","0","0","0",NULL
"74","127","914","0","0","0","0","0",NULL
"75","127","718","0","0","0","0","0",NULL
"76","127","879","0","0","0","0","0",NULL
"77","127","935","0","0","0","0","0",NULL
"78","45","1733","0","0","0","0","0",NULL
"79","45","232","0","0","0","0","0",NULL
"80","45","573","0","0","0","0","0",NULL
"81","45","549","0","0","0","0","0",NULL
"82","45","550","0","0","0","0","0",NULL
"83","45","588","0","0","0","0","0",NULL
"84","45","564","0","0","0","0","0",NULL
"85","45","538","0","0","0","0","0",NULL
"86","45","608","0","0","0","0","0",NULL
"87","45","330","0","0","0","0","0",NULL
"88","45","367","0","0","0","0","0",NULL
"89","45","884","0","0","0","0","0",NULL
"90","45","659","0","0","0","0","0",NULL
"91","45","885","0","0","0","0","0",NULL
"92","45","886","0","0","0","0","0",NULL
"93","45","660","0","0","0","0","0",NULL
"94","45","661","0","0","0","0","0",NULL
"95","45","662","0","0","0","0","0",NULL
"96","45","850","0","0","0","0","0",NULL
"97","45","663","0","0","0","0","0",NULL
"98","45","664","0","0","0","0","0",NULL
"99","45","891","0","0","0","0","0",NULL
"100","45","892","0","0","0","0","0",NULL
"101","45","893","0","0","0","0","0",NULL
"102","45","851","0","0","0","0","0",NULL
"103","45","666","0","0","0","0","0",NULL
"104","45","894","0","0","0","0","0",NULL
"105","45","667","0","0","0","0","0",NULL
"106","45","2295","0","0","0","0","0",NULL
"107","45","669","0","0","0","0","0",NULL
